sample_idx,feature,importance,rank
55352,sensor_15_avg,5.791130542755127,15
55357,sensor_49_max,18.047954559326172,1
55357,sensor_50_max,16.680761337280273,2
55357,sensor_49_avg,13.920637130737305,3
55357,sensor_52_avg,13.721243858337402,4
55357,sensor_50_avg,13.21638011932373,5
55357,sensor_52_max,13.10799503326416,6
55357,sensor_51_max,9.738116264343262,7
55357,sensor_51_avg,9.66437816619873,8
55357,sensor_186_max,9.030977249145508,9
55357,sensor_186_min,9.014632225036621,10
55357,sensor_186_avg,8.974710464477539,11
55357,sensor_51_min,7.482698440551758,12
55357,sensor_52_min,6.566011905670166,13
55357,sensor_15_max,6.129753589630127,14
55357,sensor_15_avg,6.102010726928711,15
55359,sensor_49_max,18.106666564941406,1
55359,sensor_50_max,16.716012954711914,2
55359,sensor_49_avg,13.762030601501465,3
55359,sensor_52_avg,13.75743579864502,4
55359,sensor_52_max,13.191295623779297,5
55359,sensor_50_avg,13.04922103881836,6
55359,sensor_51_max,9.73289680480957,7
55359,sensor_51_avg,9.648544311523438,8
55359,sensor_186_max,9.193140029907227,9
55359,sensor_186_min,9.184168815612793,10
55359,sensor_186_avg,9.13805866241455,11
55359,sensor_51_min,7.322629928588867,12
55359,sensor_52_min,6.422177791595459,13
55359,sensor_15_max,6.118053913116455,14
55359,sensor_15_avg,6.093154430389404,15
55363,sensor_49_max,18.061134338378906,1
55363,sensor_50_max,16.656936645507812,2
55363,sensor_49_avg,13.832773208618164,3
55363,sensor_52_avg,13.73084831237793,4
55363,sensor_50_avg,13.133434295654297,5
55363,sensor_52_max,13.12940788269043,6
55363,sensor_51_max,9.685351371765137,7
55363,sensor_51_avg,9.597567558288574,8
55363,sensor_186_max,8.43233585357666,9
55363,sensor_186_min,8.418700218200684,10
55363,sensor_186_avg,8.373784065246582,11
